fid,max0,max1,max10,max11,max12,max13,max14,max15,max16,max17,max18,max19,max2,max20,max21,max22,max23,max24,max25,max26,max27,max28,max29,max3,max30,max4,max5,max6,max7,max8,max9,mean0,mean1,mean10,mean11,mean12,mean13,mean14,mean15,mean16,mean17,mean18,mean19,mean2,mean20,mean21,mean22,mean23,mean24,mean25,mean26,mean27,mean28,mean29,mean3,mean30,mean4,mean5,mean6,mean7,mean8,mean9,min0,min1,min10,min11,min12,min13,min14,min15,min16,min17,min18,min19,min2,min20,min21,min22,min23,min24,min25,min26,min27,min28,min29,min3,min30,min4,min5,min6,min7,min8,min9,std0,std1,std10,std11,std12,std13,std14,std15,std16,std17,std18,std19,std2,std20,std21,std22,std23,std24,std25,std26,std27,std28,std29,std3,std30,std4,std5,std6,std7,std8,std9
t1,0.926300526,0.926321328,0.858433545,0.849945962,0.846280158,0.851642966,0.860071301,0.865958929,0.870251119,0.879378259,0.89195925,0.984344482,0.926319599,1.239665747,1.670113087,1.992196441,2.242732525,2.391247272,2.473284721,2.529782534,2.543596029,2.430099249,2.293428183,0.92673862,2.266402483,0.928186119,0.965350866,0.977874339,0.954052866,0.907014906,0.871706188,0.272215134,0.272189675,0.098330558,0.081332939,0.065932265,0.056098303,0.050814437,0.050411118,0.055716472,0.071819478,0.128211129,0.310747409,0.272230895,0.607623566,0.951905364,1.254477097,1.479387227,1.621444612,1.692884243,1.74600661,1.771026842,1.71673185,1.638623874,0.271863545,1.629368929,0.26870247,0.25854734,0.229555932,0.182834166,0.138856348,0.113664083,0.018797785,0.018867623,-0.011455739,-0.020945476,-0.030787328,-0.038019281,-0.041640863,-0.040896762,-0.035834197,-0.025781153,-0.005908231,0.028571442,0.018804723,0.030509662,0.027119193,0.023369184,0.019935245,0.017320039,0.016696619,0.018359166,0.021863222,0.026650272,0.031042403,0.018072905,0.033179052,0.011799406,0.007323942,0.002926175,-0.00037727,-0.002323091,-0.005641939,0.116394502,0.116398836,0.169447623,0.164233745,0.159570046,0.157010692,0.156288563,0.156810173,0.15909844,0.166816983,0.180019831,0.172129341,0.116389174,0.190767253,0.26518869,0.355334496,0.42976456,0.477785008,0.501828801,0.520095414,0.528119455,0.506858147,0.475545665,0.117383459,0.472372705,0.130787951,0.14685759,0.160356777,0.171023892,0.176806937,0.174775704
t10,0.95693469,0.95691669,0.83167094,0.795228541,0.759162247,0.731358349,0.722921073,0.735678434,0.757283628,0.800657809,0.871317804,0.958497286,0.956952393,1.228749275,1.494632244,1.87931788,2.203341246,2.38944149,2.465140104,2.525788069,2.554973841,2.464318752,2.344559431,0.958318055,2.326826334,0.992354274,1.031219482,1.030373454,0.991376698,0.930760562,0.863164008,0.297010853,0.296992768,0.126071222,0.100717982,0.077346973,0.062025243,0.053579125,0.05156651,0.056688681,0.076367384,0.147793982,0.322914582,0.297020807,0.604274716,0.92883899,1.214575795,1.424894776,1.552555655,1.610876794,1.650676433,1.666012078,1.61245749,1.538072814,0.297025983,1.52368963,0.298733143,0.294207148,0.26953801,0.224026774,0.177557069,0.147839123,0.022327553,0.02223671,-0.019214919,-0.021022853,-0.024971481,-0.029963439,-0.03240931,-0.031615373,-0.02784111,-0.02047017,-0.006152338,0.009475482,0.022379113,0.040102918,0.05192465,0.05748073,0.060876269,0.061959285,0.060989507,0.059729859,0.059810571,0.06237191,0.068591744,0.020950407,0.074591339,0.010491298,-0.000254132,-0.005004496,-0.009198662,-0.013329982,-0.016638653,0.118046666,0.118048182,0.135583181,0.127558621,0.119752366,0.113877705,0.110436887,0.10922176,0.109886241,0.11538226,0.124244425,0.137555699,0.118043242,0.200762634,0.308016856,0.415258124,0.497155536,0.544883933,0.563625593,0.575002016,0.577407835,0.553942688,0.522080634,0.118894438,0.51476319,0.129466524,0.13963738,0.14526638,0.149028401,0.150273474,0.144339523
t100,0.936218143,0.936147809,1.286082506,1.25927949,1.21598804,1.182063222,1.13708508,1.078081608,1.025387526,1.021998167,1.02445519,1.026990652,0.936279535,1.199781418,1.555833101,1.815324187,1.991682529,2.224295139,2.341542482,2.43067646,2.489429951,2.423525333,2.340198278,0.943071902,2.371115208,1.015400767,1.065160155,1.123223186,1.174000382,1.210229874,1.260027051,0.223855012,0.223820931,0.094422617,0.08400048,0.074255869,0.067504102,0.062934784,0.060426151,0.06052276,0.065705445,0.087151314,0.232460695,0.223872227,0.506448457,0.835328075,1.133102412,1.361960699,1.51294529,1.595153181,1.657739162,1.691995934,1.6530568,1.597342162,0.223930798,1.60675311,0.222319177,0.208443592,0.176506171,0.136618316,0.111275431,0.102401608,0.086293101,0.086340979,-0.022908825,-0.033882383,-0.044317089,-0.051492531,-0.054274082,-0.052417826,-0.046254102,-0.036579974,-0.016749723,0.031012345,0.086271241,0.186792552,0.182712331,0.180033058,0.178991258,0.179378271,0.179816037,0.180697829,0.179203525,0.170866281,0.161739752,0.085923135,0.159524754,0.069519781,0.046753027,0.015977468,-0.004619958,-0.011742235,-0.015902555,0.122477435,0.12248352,0.249159959,0.24771435,0.244198636,0.240408008,0.234009931,0.223394472,0.210718705,0.200078811,0.192744088,0.149021382,0.12247426,0.11888576,0.204386111,0.319149963,0.412302107,0.473136283,0.505696289,0.53035006,0.543996957,0.529742838,0.507895524,0.124104151,0.51104211,0.146668209,0.176408765,0.205755375,0.230202107,0.243670384,0.247812029
t101,0.902677655,0.902660966,1.287117481,1.27375412,1.242499709,1.208320975,1.16019845,1.084201336,1.024195075,1.015216827,1.016168952,1.073758483,0.902697206,1.251748562,1.484326959,1.781419277,2.075369596,2.293404579,2.411372423,2.514286995,2.5751791,2.5037117,2.402223825,0.908402681,2.424860239,0.982957482,1.056350946,1.137106061,1.19821763,1.245626688,1.275264978,0.220003531,0.219965965,0.08946046,0.079021598,0.069070068,0.062266373,0.057655582,0.055242671,0.055762136,0.061807891,0.086077051,0.252323806,0.220023877,0.554421625,0.90877686,1.220831729,1.454704154,1.605916322,1.687086293,1.751125231,1.786549209,1.741959274,1.676752832,0.219825284,1.683653748,0.215809862,0.200923365,0.169000258,0.128528131,0.104443449,0.096597715,0.06015772,0.0601331,-0.024331121,-0.036007416,-0.046739411,-0.053678181,-0.056286644,-0.054266024,-0.047942955,-0.036826611,-0.016243624,0.037292801,0.060150303,0.202698156,0.19370845,0.185413554,0.178562537,0.17340678,0.168127567,0.16238603,0.155561715,0.146509811,0.138937324,0.05967981,0.134488493,0.051693588,0.034520183,0.010398074,-0.00537981,-0.012580049,-0.016686879,0.117147926,0.117154993,0.245462845,0.244643122,0.24169252,0.238190496,0.231848198,0.22112611,0.208238817,0.197513586,0.190752203,0.146562686,0.117144186,0.134225471,0.23442946,0.351280455,0.442502608,0.500898467,0.531851087,0.556554953,0.570315891,0.553125911,0.526379741,0.118797552,0.527792251,0.14200673,0.172660939,0.202550212,0.227064846,0.239705667,0.243809753
t102,0.913076997,0.913055241,1.19193399,1.179573059,1.145673513,1.116807699,1.095056057,1.062095761,1.022838235,1.023850441,1.024435878,1.022540331,0.913096189,1.251126885,1.686505437,2.06176424,2.347448587,2.513758659,2.647435665,2.760253191,2.827922106,2.758140087,2.651609898,0.919125557,2.675069571,0.99114573,1.055228949,1.117678523,1.154081821,1.167243958,1.174906731,0.211158948,0.211120214,0.068185498,0.057577237,0.04808203,0.042011823,0.03845494,0.037684242,0.040458994,0.04947555,0.082731726,0.266306584,0.211180258,0.586407424,0.956610635,1.277757268,1.514842334,1.665711409,1.744691598,1.806981757,1.840486203,1.791109556,1.719646516,0.210657468,1.723922597,0.203502565,0.187029862,0.154743687,0.112709852,0.086046622,0.076067778,0.055169597,0.055154927,-0.02549069,-0.038977493,-0.0524421,-0.060932554,-0.064256065,-0.062109996,-0.054957785,-0.043275062,-0.017518658,0.036111232,0.055116672,0.220084071,0.343877554,0.343006909,0.335008293,0.329569072,0.326018155,0.326624036,0.325982898,0.3114537,0.29253903,0.054799087,0.280604869,0.049340598,0.0321301,0.003497866,-0.006317265,-0.014012503,-0.01789956,0.123280608,0.12328733,0.216682793,0.215295719,0.213304285,0.211926565,0.209136873,0.20348123,0.196294561,0.191097781,0.189412593,0.157988305,0.123277298,0.154022759,0.231337729,0.323597185,0.396034473,0.4427261,0.46775697,0.489057041,0.50061131,0.481899849,0.452647209,0.124754894,0.451877194,0.145085226,0.170522855,0.193340682,0.210309974,0.21694856,0.217310563
t103,0.926425278,0.926442981,1.310862899,1.294579029,1.257376194,1.215044618,1.160654068,1.081136823,1.027226806,1.026654959,1.026381731,1.021247983,0.926469743,1.203757644,1.596238136,1.902675152,2.174950838,2.428461552,2.563849688,2.669195414,2.725107193,2.648777246,2.545329332,0.932341754,2.578552246,0.999331951,1.054469109,1.128215909,1.189995766,1.25383997,1.295524836,0.23549805,0.235461499,0.126690018,0.115423685,0.104140116,0.096019714,0.089739675,0.085228862,0.083676994,0.088750445,0.115252193,0.274134285,0.235516846,0.560706966,0.895970624,1.190502974,1.410810673,1.552892458,1.628420378,1.687569302,1.719718931,1.676126708,1.613096761,0.23557292,1.618162244,0.235277085,0.225941215,0.199908767,0.164024662,0.141982702,0.134030033,0.072252519,0.072231665,-0.023502396,-0.034274425,-0.046018563,-0.055139937,-0.057499286,-0.055885829,-0.049321249,-0.038378783,-0.015298489,0.047865313,0.072214797,0.193029195,0.18632336,0.1777509,0.168730408,0.161322474,0.154827282,0.149563029,0.144124746,0.135872334,0.128038928,0.072374634,0.124833539,0.06786377,0.044944778,0.011338808,-0.005104525,-0.011980504,-0.01629387,0.135477214,0.13548593,0.283864675,0.282311321,0.277968583,0.272686214,0.263942843,0.249933205,0.233206763,0.218491966,0.20781832,0.159679284,0.135472847,0.15868827,0.276503037,0.406896545,0.507290119,0.57071514,0.603442869,0.629186533,0.643113229,0.623144407,0.592590249,0.137437188,0.592966353,0.164488585,0.199469803,0.23338452,0.261568401,0.276700625,0.282078437
t104,0.90326792,0.903287053,1.357360244,1.357594371,1.316927671,1.255358577,1.172332644,1.07844305,1.022486448,1.013147831,1.007630825,1.013100624,0.903298914,1.250507116,1.454437017,1.745908022,2.061821222,2.310753584,2.448942661,2.551302433,2.606495857,2.54251194,2.457567692,0.908952355,2.500085354,0.980088651,1.05477798,1.139001608,1.21388793,1.272018075,1.32120502,0.203526213,0.203491252,0.059271176,0.049542941,0.040707388,0.034833367,0.031475345,0.030885448,0.033550025,0.041556234,0.067692579,0.234030012,0.203545581,0.528938899,0.876086067,1.184502697,1.418056436,1.570972791,1.654057238,1.718307598,1.753450975,1.710669999,1.64888281,0.203115398,1.657893048,0.196659146,0.179789909,0.14661217,0.104741955,0.076778229,0.066922469,0.081262313,0.081224248,-0.020324014,-0.029561525,-0.041658085,-0.049591988,-0.052285373,-0.050130378,-0.044450369,-0.035122368,-0.016393285,0.039708987,0.081219032,0.218614221,0.210598648,0.203546718,0.197249427,0.192096889,0.187068209,0.181664973,0.174613163,0.164765149,0.155829012,0.080246337,0.150660872,0.067619048,0.045791496,0.011559656,-0.00454538,-0.009994962,-0.013970661,0.097948471,0.097953711,0.192463661,0.191094478,0.188379638,0.18584613,0.181925738,0.175569165,0.168453432,0.164037062,0.163400293,0.131016099,0.097945399,0.120404069,0.196382342,0.290183916,0.36542636,0.414728637,0.441480539,0.46289682,0.474724457,0.459999837,0.437626584,0.099169404,0.440594798,0.116595842,0.139686939,0.161879171,0.180022396,0.189657949,0.192039789
t105,0.873003662,0.872953057,1.265105009,1.257597804,1.232449412,1.201355934,1.155557156,1.088486195,1.023972869,1.002303481,0.988575578,1.076086879,0.873005629,1.251643181,1.533598661,1.802671075,2.028916836,2.276303053,2.409406662,2.510892153,2.566034079,2.502133131,2.414256096,0.880040467,2.444138765,0.968417883,1.057300806,1.127753735,1.187877893,1.228161812,1.253301382,0.205630404,0.205594961,0.079433097,0.069645975,0.06041762,0.054196645,0.050286281,0.04873436,0.050006694,0.056395213,0.078346118,0.22868255,0.205648408,0.512718896,0.849326686,1.149831858,1.378105437,1.527507572,1.608763569,1.671828266,1.707397097,1.669577626,1.614783744,0.205526311,1.625805779,0.201881461,0.186445265,0.154105058,0.115252269,0.094180755,0.086601052,0.055367284,0.055403817,-0.023827126,-0.034548581,-0.045206901,-0.053637858,-0.055936038,-0.053228326,-0.047349561,-0.038269833,-0.016536767,0.036726151,0.055391438,0.218438119,0.22000277,0.21129775,0.19634445,0.184648454,0.176482379,0.17174603,0.168970481,0.164379224,0.159038231,0.055527806,0.155857161,0.055178687,0.036098748,0.006525076,-0.005315382,-0.012357114,-0.016475452,0.11431375,0.114319785,0.230575383,0.229779372,0.227106234,0.224073941,0.218568057,0.209205236,0.198006212,0.189029437,0.184770078,0.148893511,0.114311658,0.135719838,0.222938497,0.331388222,0.418696259,0.476082196,0.50736324,0.532096681,0.545992101,0.530629339,0.506762469,0.115789036,0.509480462,0.136883776,0.165375948,0.19323304,0.215350746,0.225687464,0.22910249
t106,0.917896867,0.917870343,1.286606073,1.27292347,1.24490428,1.213974476,1.165973186,1.092903972,1.030313134,1.023415804,1.017077923,1.052603483,0.917889297,1.261270881,1.591230869,1.874329686,2.097931385,2.328911304,2.452192783,2.552502871,2.610908031,2.537844658,2.438647032,0.923967183,2.484546185,0.994384646,1.055972695,1.131210923,1.202903628,1.251281023,1.27810216,0.205528665,0.205491683,0.082411817,0.072572287,0.063278638,0.057095689,0.053240316,0.051922807,0.053874065,0.061851608,0.088484915,0.251116094,0.205547809,0.5481186,0.89462448,1.198369834,1.425167564,1.571323266,1.649400237,1.710902084,1.745237631,1.703338373,1.642376461,0.205308876,1.650136631,0.200955773,0.186370862,0.155687553,0.11747917,0.096676781,0.089357385,0.0354493,0.035422068,-0.022979664,-0.033579584,-0.045586992,-0.054334279,-0.057176977,-0.055050563,-0.048799824,-0.038686838,-0.016075285,0.03166642,0.035491616,0.204417124,0.193219066,0.185453102,0.181115091,0.178362757,0.176309839,0.176473945,0.175990075,0.170131147,0.163143709,0.035122074,0.158731744,0.0315203,0.02801214,0.00907002,-0.005163035,-0.01145288,-0.015680598,0.113271263,0.113277177,0.227996788,0.227621963,0.225651999,0.223467125,0.218956048,0.210721236,0.2006413,0.192740839,0.189833748,0.155458312,0.113269055,0.154889586,0.251501656,0.362418717,0.449337756,0.505460689,0.535557786,0.560291817,0.574274238,0.556658895,0.529261269,0.114775797,0.53117081,0.13615354,0.164598984,0.192128419,0.213948043,0.223664388,0.226575757
t107,0.90989852,0.909917593,1.280190825,1.261223435,1.219801068,1.172610402,1.107783079,1.059059739,1.02330482,1.013106585,1.015507102,1.016701698,0.909878612,1.253475547,1.466644049,1.700252771,1.881741285,2.102466106,2.227262497,2.322863102,2.375060558,2.316438198,2.238112688,0.915717602,2.283118963,0.984619677,1.058440328,1.121837854,1.158599138,1.222081184,1.265616655,0.20365563,0.203625213,0.085332741,0.076442008,0.06827146,0.06283315,0.059471311,0.058078373,0.058992182,0.064398256,0.084230264,0.2162117,0.20367057,0.46912941,0.773455967,1.050622671,1.26542571,1.408879721,1.48840796,1.548755636,1.582776759,1.550764268,1.505294226,0.203700592,1.519236221,0.202075607,0.189181864,0.159584137,0.123047074,0.101002143,0.092487281,0.056188624,0.056180898,-0.020673908,-0.03024712,-0.040655877,-0.048046108,-0.051172119,-0.049637381,-0.043992065,-0.034893457,-0.017184611,0.02509743,0.05615994,0.186244875,0.191687241,0.190948188,0.189869747,0.190189958,0.189305276,0.187972739,0.1856139,0.180543706,0.174808934,0.056248259,0.171941102,0.0549854,0.04022954,0.009178356,-0.004422831,-0.010036081,-0.014311536,0.114308117,0.114313738,0.229343544,0.228437012,0.226078451,0.223763274,0.219233862,0.211013982,0.200937451,0.192799535,0.188343193,0.154937615,0.114305909,0.133527045,0.205320594,0.306652794,0.39151437,0.448367689,0.479595387,0.503561594,0.516982789,0.503855511,0.484042528,0.115835466,0.488735269,0.137184898,0.165444328,0.192730018,0.214300249,0.224949142,0.228189138
